,1,2,3,4,5,6,7,8,9,10,11,12
0,405.694,418.833,431.97200000000004,445.111,458.25,471.389,484.528,471.389,458.25,445.111,431.97200000000004,418.833
1,399.288,411.98533333333336,424.68266666666665,437.38,450.07733333333334,462.77466666666663,475.472,462.77466666666663,450.07733333333334,437.38,424.68266666666665,411.98533333333336
2,390.747,404.113,417.479,430.845,444.211,457.577,470.943,457.577,444.211,430.845,417.479,404.113
3,388.612,401.9565,415.301,428.64549999999997,441.99,455.3345,468.679,455.3345,441.99,428.64549999999997,415.301,401.9565
4,386.477,399.79999999999995,413.123,426.446,439.769,453.092,466.415,453.092,439.769,426.446,413.123,399.79999999999995
5,384.342,397.26616666666666,410.19033333333334,423.1145,436.03866666666664,448.9628333333333,461.887,448.9628333333333,436.03866666666664,423.1145,410.19033333333334,397.26616666666666
6,386.477,396.0265,405.57599999999996,415.1255,424.675,434.2245,443.774,434.2245,424.675,415.1255,405.57599999999996,396.0265
7,399.288,401.04183333333333,402.79566666666665,404.54949999999997,406.30333333333334,408.05716666666666,409.811,408.05716666666666,406.30333333333334,404.54949999999997,402.79566666666665,401.04183333333333
8,409.964,403.9008333333333,397.8376666666667,391.7745,385.7113333333333,379.64816666666667,373.585,379.64816666666667,385.7113333333333,391.7745,397.8376666666667,403.9008333333333
9,424.911,410.3188333333333,395.7266666666667,381.1345,366.5423333333333,351.9501666666667,337.358,351.9501666666667,366.5423333333333,381.1345,395.7266666666667,410.3188333333333
10,422.776,404.3888333333333,386.00166666666667,367.6145,349.2273333333333,330.8401666666666,312.453,330.8401666666666,349.2273333333333,367.6145,386.00166666666667,404.3888333333333
11,407.829,387.78200000000004,367.735,347.688,327.641,307.59400000000005,287.547,307.59400000000005,327.641,347.688,367.735,387.78200000000004
12,397.153,376.6211666666667,356.08933333333334,335.5575,315.02566666666667,294.4938333333333,273.962,294.4938333333333,315.02566666666667,335.5575,356.08933333333334,376.6211666666667
13,388.612,367.9943333333334,347.37666666666667,326.759,306.14133333333336,285.5236666666667,264.906,285.5236666666667,306.14133333333336,326.759,347.37666666666667,367.9943333333334
14,384.342,364.0586666666667,343.7753333333333,323.49199999999996,303.20866666666666,282.92533333333336,262.642,282.92533333333336,303.20866666666666,323.49199999999996,343.7753333333333,364.0586666666667
15,395.018,373.3326666666666,351.64733333333334,329.962,308.27666666666664,286.5913333333333,264.906,286.5913333333333,308.27666666666664,329.962,351.64733333333334,373.3326666666666
16,407.829,386.65,365.471,344.29200000000003,323.113,301.93399999999997,280.755,301.93399999999997,323.113,344.29200000000003,365.471,386.65
17,427.046,407.56983333333335,388.09366666666665,368.6175,349.14133333333336,329.66516666666666,310.189,329.66516666666666,349.14133333333336,368.6175,388.09366666666665,407.56983333333335
18,441.993,427.1955,412.398,397.6005,382.803,368.00550000000004,353.208,368.00550000000004,382.803,397.6005,412.398,427.1955
19,444.128,435.767,427.406,419.04499999999996,410.68399999999997,402.323,393.962,402.323,410.68399999999997,419.04499999999996,427.406,435.767
20,439.858,439.7558333333333,439.65366666666665,439.55150000000003,439.44933333333336,439.3471666666667,439.245,439.3471666666667,439.44933333333336,439.55150000000003,439.65366666666665,439.7558333333333
21,431.317,438.6761666666667,446.0353333333333,453.3945,460.7536666666667,468.1128333333333,475.472,468.1128333333333,460.7536666666667,453.3945,446.0353333333333,438.6761666666667
22,416.37,428.8618333333333,441.3536666666667,453.8455,466.33733333333333,478.8291666666667,491.321,478.8291666666667,466.33733333333333,453.8455,441.3536666666667,428.8618333333333
23,409.964,423.5235,437.083,450.64250000000004,464.202,477.7615,491.321,477.7615,464.202,450.64250000000004,437.083,423.5235
