volume,coll_area,design_case,flow
0.2,16,cp_PV,100
0.2,8,cp_PV,100
0.2,8,cp,100
0.2,8,cp,50
0.4,8,cp,50
0.2,16,cp,50
0.2,20,cp,50
0.2,20,cp,100
0.4,20,cp,100
0.4,20,cp_PV,100
0.4,16,cp_PV,100
0.4,16,cp_PV,200
0.2,16,cp_PV,200
0.2,20,cp_PV,200
0.2,20,cp,200
0.1,20,cp,200
0.3,20,cp,200
0.3,16,cp,200
0.3,16,cp_PV,200
0.3,16,cp_PV,100
0.3,8,cp,100
0.1,8,cp,100
0.1,8,cp,200
0.1,8,cp_PV,200
0.1,16,cp_PV,200
0.1,20,cp,100
0.1,20,cp_PV,100
0.1,20,cp_PV,200
0.1,16,cp_PV,200
0.3,16,cp_PV,200
0.4,16,cp,200
0.2,16,cp,200
0.2,20,cp,200
0.2,20,cp,100
0.2,20,cp_PV,100
0.2,16,ST,100
0.2,16,ST,50
0.4,16,ST,50
0.4,16,cp_PV,50
0.4,20,cp_PV,50
0.3,20,cp,50
0.3,16,cp,50
0.3,16,cp_PV,50
0.3,16,cp_PV,100
0.1,16,cp_PV,100
0.1,20,cp_PV,100
0.1,20,cp,100
0.1,16,cp,100
0.1,16,cp,200
0.3,16,cp,200
0.2,8,cp,100
0.2,8,cp_PV,100
0.4,8,cp_PV,100
0.4,8,cp_PV,50
0.4,16,cp_PV,50
0.2,20,ST,200
0.2,20,ST,100
0.4,20,ST,100
0.4,20,cp_PV,100
0.4,16,cp_PV,100
0.4,16,ST,100
0.2,16,ST,100
0.2,16,ST,50
0.2,8,ST,50
0.2,8,cp_PV,50
0.4,20,cp_PV,100
0.4,20,cp_PV,200
0.4,16,cp_PV,200
0.2,16,cp_PV,200
0.2,16,ST,200
0.4,16,cp,100
0.4,8,cp,100
0.4,8,cp_PV,100
0.4,8,cp_PV,200
0.2,8,cp_PV,200
0.3,16,cp_PV,100
0.3,16,ST,100
0.1,16,ST,100
0.1,20,ST,100
0.1,20,ST,50
0.4,8,ST,200
0.4,8,cp_PV,200
0.4,8,cp_PV,100
0.2,8,cp_PV,100
0.2,16,cp_PV,100
0.3,16,cp,100
0.3,20,cp,100
0.3,20,cp_PV,100
0.1,20,cp_PV,100
0.1,20,cp_PV,200
0.1,16,ST,50
0.1,8,ST,50
0.1,8,ST,100
0.3,8,ST,100
0.3,8,cp_PV,100
0.2,20,cp,50
0.2,20,cp,100
0.4,20,cp,100
0.4,16,cp,100
0.4,16,cp_PV,100
0.1,16,cp,100
0.1,8,cp,100
0.1,8,cp,50
0.1,8,cp_PV,50
0.3,8,cp_PV,50
0.1,8,ST,200
0.3,8,ST,200
0.3,8,cp_PV,200
0.3,16,cp_PV,200
0.3,16,cp_PV,100
0.3,16,cp_PV,100
0.3,8,cp_PV,100
0.3,8,ST,100
0.3,8,ST,50
0.1,8,ST,50
0.3,20,cp_PV,50
0.1,20,cp_PV,50
0.1,16,cp_PV,50
0.1,16,cp,50
0.1,16,cp,100
0.3,16,cp_PV,100
0.3,16,cp_PV,200
0.3,20,cp_PV,200
0.3,20,cp,200
0.1,20,cp,200
0.3,20,ST,100
0.3,20,cp_PV,100
0.3,20,cp_PV,200
0.3,16,cp_PV,200
0.1,16,cp_PV,200
0.3,16,cp_PV,100
0.3,20,cp_PV,100
0.3,20,cp_PV,200
0.3,20,cp,200
0.1,20,cp,200
0.3,16,cp_PV,50
0.1,16,cp_PV,50
0.1,8,cp_PV,50
0.1,8,cp,50
0.1,8,cp,100
0.2,20,cp,50
0.4,20,cp,50
0.4,16,cp,50
0.4,16,cp,100
0.4,16,cp_PV,100
0.2,20,cp_PV,200
0.4,20,cp_PV,200
0.4,16,cp_PV,200
0.4,16,ST,200
0.4,16,ST,100
0.1,8,cp_PV,100
0.1,8,cp_PV,200
0.1,16,cp_PV,200
0.1,16,cp,200
0.3,16,cp,200
0.4,16,ST,200
0.4,16,cp_PV,200
0.4,8,cp_PV,200
0.4,8,cp_PV,100
0.2,8,cp_PV,100
